dayoftheyear,open,high,low,close,WLLDE
1987,380.64,383.95,379.23,383.78,383.08
1988,383.45,386.69,383.22,386.20,385.06
1989,385.64,386.67,385.36,386.12,384.32
1990,383.01,384.66,379.19,379.95,381.96
1991,380.09,381.29,377.45,379.30,383.04
1992,379.55,391.25,377.62,391.25,387.85
1993,392.30,393.48,388.44,390.96,390.16
1994,386.04,391.42,385.93,390.51,388.45
1995,387.67,388.61,382.12,383.49,383.90
1996,383.32,383.87,375.86,377.96,379.71
1997,377.10,379.69,376.17,377.31,378.44
1998,379.21,381.35,377.42,380.27,378.91
1999,379.02,381.60,377.31,377.43,379.73
2000,378.23,382.87,377.56,382.87,382.16
2001,393.69,393.95,382.99,385.77,383.69
2002,385.43,389.16,380.34,383.30,381.08
2003,378.41,379.32,372.26,373.93,375.28
2004,371.35,372.70,367.36,369.51,370.27
2005,369.71,370.04,364.70,366.38,367.79
2006,365.62,368.51,364.29,366.88,368.19
2007,369.49,373.50,368.95,372.37,369.43
2008,369.30,372.35,361.32,367.05,368.84
2009,366.02,369.31,364.46,369.17,368.20
2010,369.05,369.40,366.02,367.71,367.02
2011,367.64,369.63,362.91,363.14,366.24
2012,366.00,370.55,365.47,369.68,367.71
2013,366.98,368.85,364.85,368.70,368.40
2014,370.57,372.56,364.27,367.15,368.25
2015,369.43,372.03,366.36,369.99,368.41
2016,368.02,368.13,365.17,365.76,369.16
2017,368.88,375.28,365.79,374.15,372.03
2018,376.36,379.57,373.75,373.94,374.59
2019,373.35,376.63,372.40,376.56,377.21
2020,378.15,381.40,377.33,381.32,380.34
2021,382.43,384.19,378.33,382.71,382.51
2022,379.49,384.77,379.22,384.20,383.28
2023,384.18,385.86,382.81,383.49,381.85
2024,384.69,385.76,377.24,377.44,378.67
2025,375.38,377.04,373.36,374.69,377.82
2026,376.10,381.82,374.44,381.67,381.10
2027,382.48,388.20,381.52,386.25,384.60
2028,384.56,386.75,383.37,385.83,385.97
2029,381.74,386.32,379.43,385.98,387.16
2030,388.66,390.39,385.67,390.22,389.10
2031,389.17,393.51,388.96,391.12,389.57
2032,388.34,390.59,385.91,386.21,389.29
2033,386.73,391.94,386.38,391.89,391.88
2034,390.67,398.82,387.91,396.06,396.11
2035,399.97,403.30,398.06,401.82,398.77
2036,396.82,402.00,396.33,397.55,398.02
2037,395.08,396.53,393.45,395.12,397.21
2038,394.19,401.54,392.94,400.29,397.60
2039,398.30,399.65,395.22,395.91,396.02
2040,399.54,399.69,391.24,392.48,394.03
2041,391.29,393.78,390.47,393.39,394.56
2042,394.05,398.15,393.59,398.01,396.69
2043,396.48,400.15,393.85,397.83,397.84
2044,395.62,399.20,394.77,399.12,397.18
2045,394.12,398.09,393.49,393.62,394.52
2046,391.49,392.88,389.55,392.64,390.92
2047,388.59,389.65,384.50,384.76,386.93
2048,385.18,386.73,382.77,384.24,385.10
