dayoftheyear,open,high,low,close,WLLDE
510,115.50,115.76,114.90,115.76,115.63
511,115.34,115.66,114.51,115.58,115.71
512,115.64,116.17,115.64,115.98,115.78
513,115.67,115.85,115.29,115.63,115.77
514,115.80,115.98,115.50,115.86,115.80
515,116.03,116.44,115.56,115.81,115.89
516,116.31,116.61,115.75,116.06,116.05
517,115.98,116.32,115.42,116.16,116.38
518,116.38,117.11,116.18,116.94,117.05
519,117.67,118.14,117.57,118.11,117.80
520,118.27,118.48,118.03,118.24,118.18
521,118.49,118.58,118.08,118.46,118.13
522,118.07,118.07,116.89,117.54,117.75
523,117.12,117.33,116.63,117.30,117.63
524,118.13,118.35,117.58,118.11,117.88
525,117.91,118.37,117.58,118.01,118.11
526,118.13,118.47,118.02,118.35,118.31
527,118.15,118.51,118.04,118.49,118.57
528,118.73,119.17,118.62,118.92,118.87
529,118.76,119.29,118.54,119.12,119.19
530,119.24,119.82,119.18,119.55,119.56
531,119.82,120.12,119.61,119.95,120.03
532,120.32,120.78,120.27,120.63,120.56
533,120.67,121.04,120.29,121.03,121.09
534,120.95,121.81,120.88,121.75,121.54
535,121.82,122.07,121.40,121.71,121.86
536,121.53,122.25,121.51,122.24,122.26
537,122.47,122.92,122.41,122.84,122.65
538,122.73,122.97,122.52,122.89,122.73
539,123.08,123.08,121.94,122.43,122.62
540,121.87,122.66,121.83,122.66,122.64
541,122.44,122.82,122.23,122.81,122.71
542,122.78,122.84,122.10,122.44,122.88
543,123.22,124.00,122.98,123.77,123.25
544,123.75,123.76,123.00,123.15,123.32
545,123.07,123.42,122.74,123.38,123.25
546,122.97,123.31,122.61,123.10,123.12
547,122.86,123.43,122.68,122.90,123.03
548,122.97,123.50,122.85,123.11,123.11
549,123.08,123.38,122.55,123.21,123.33
550,123.77,123.92,123.19,123.73,123.62
551,123.68,123.96,123.61,123.93,123.80
552,123.65,123.70,123.13,123.63,123.92
553,123.89,124.69,123.49,124.39,124.17
554,124.63,124.63,124.03,124.31,124.29
555,124.46,124.60,124.20,124.27,124.24
556,124.23,124.66,124.05,124.38,123.86
557,124.85,124.96,122.42,122.49,123.23
558,122.53,123.44,122.37,123.32,123.09
559,123.16,123.50,122.80,123.01,123.15
560,123.41,123.89,122.79,123.27,123.29
561,122.39,123.68,122.11,123.46,123.63
562,123.46,124.59,123.19,124.22,124.17
563,124.30,124.84,124.17,124.80,124.66
564,124.75,125.13,124.63,125.00,124.89
565,124.82,125.26,124.68,124.92,124.92
566,125.02,125.32,124.14,124.84,124.90
567,124.48,125.06,124.44,125.04,124.85
568,125.22,125.95,124.30,124.53,124.68
569,124.65,124.93,124.28,124.60,124.58
570,124.56,124.91,124.09,124.53,124.54
571,124.65,125.10,124.24,124.58,124.40
572,124.46,124.65,123.14,124.04,124.03
573,124.02,124.12,123.41,123.54,123.60
574,123.37,124.10,123.03,123.05,123.48
575,123.40,124.09,123.35,124.07,123.76
576,123.65,124.24,123.57,123.88,123.99
577,124.42,124.83,123.91,124.08,124.32
578,124.58,125.39,124.39,125.11,124.87
579,125.23,125.28,124.77,125.09,125.51
580,126.47,126.72,126.26,126.60,126.42
581,127.01,127.74,126.90,127.51,127.18
582,127.56,127.87,127.26,127.33,127.57
583,127.64,128.10,127.57,128.10,128.00
584,128.61,128.65,128.12,128.32,128.56
585,128.75,129.63,128.69,129.47,129.18
586,129.63,129.74,129.30,129.68,129.46
587,129.39,129.44,128.92,129.27,129.40
588,129.25,129.68,128.86,129.31,129.46
589,129.65,129.79,129.16,129.79,129.75
590,129.85,130.07,129.59,130.07,130.10
591,130.27,130.81,130.15,130.52,130.40
592,130.60,130.65,130.14,130.60,130.54
593,130.24,130.53,129.63,130.49,130.62
594,130.55,130.81,130.44,130.79,130.84
595,130.84,131.28,130.72,131.20,131.10
596,131.54,131.77,131.16,131.75,130.69
597,130.70,130.95,128.38,128.40,129.65
598,128.35,129.96,128.21,129.52,129.54
599,129.99,130.62,129.90,130.07,130.19
600,130.36,131.23,130.31,131.16,130.90
601,131.55,131.56,130.96,131.30,131.43
602,131.69,131.97,131.32,131.90,132.05
603,132.40,133.36,132.12,133.02,132.76
604,133.05,133.32,132.87,133.26,133.18
605,133.19,133.53,133.11,133.37,133.34
606,133.84,133.84,132.65,133.32,133.54
607,133.60,133.90,133.03,133.84,134.12
608,134.32,135.40,134.10,135.37,134.90
609,135.36,135.58,135.16,135.34,135.16
610,135.18,135.63,134.61,134.81,135.10
611,135.18,135.45,134.56,135.34,135.11
612,135.64,135.69,134.74,135.48,134.45
613,135.64,135.79,130.32,132.09,132.87
614,130.97,131.62,129.72,131.38,131.98
615,132.12,132.64,131.43,132.45,132.00
616,132.99,132.99,130.81,131.87,131.81
617,130.54,131.43,129.74,131.29,131.40
618,131.22,131.31,130.24,130.72,131.47
619,131.99,133.03,131.79,132.90,132.08
620,132.77,132.94,131.81,131.86,132.43
621,132.16,133.23,132.08,133.17,132.85
622,133.38,133.62,132.79,133.13,133.20
623,132.98,133.81,132.61,133.64,133.23
624,134.41,134.63,132.72,133.02,132.57
625,132.51,132.68,130.59,130.60,131.73
626,131.09,132.60,130.33,132.49,131.42
627,131.94,131.94,128.92,130.19,130.72
628,130.56,131.21,129.81,130.24,129.97
